AlgorithmAgent,IsWon,GameTime,Points
AlphaBetaAgent,True,0:00:16.429916,971
AlphaBetaAgent,False,0:00:03.405265,-338
AlphaBetaAgent,True,0:00:14.772665,973
AlphaBetaAgent,True,0:00:20.557941,1341
AlphaBetaAgent,False,0:00:09.620740,-128
AlphaBetaAgent,False,0:00:11.678549,295
AlphaBetaAgent,True,0:00:27.446252,1300
AlphaBetaAgent,True,0:00:17.631604,1755
AlphaBetaAgent,False,0:00:08.460111,120
AlphaBetaAgent,False,0:00:09.932794,-117
AlphaBetaAgent,True,0:00:18.818868,1543
AlphaBetaAgent,True,0:00:20.070275,947
AlphaBetaAgent,True,0:00:21.539114,1329
AlphaBetaAgent,False,0:00:08.582106,205
AlphaBetaAgent,False,0:00:12.557498,-194
AlphaBetaAgent,False,0:00:18.966241,336
